title_clean,first_sentence
cheese,i hate cheese it make me sneeze
orange suit,orange nose
scooter patooter,his name is scooter
i love peace,peace
this is me,i am nice and slimy when you see me you'll cry
my lazy lazy cat,my lazy
ice cream i scream,yum
lollipops,every day at 9:00 i eat lollipops watching t
darby the dog,demented awesome rebel beautiful yaks too much
stray puppy,on the street
life of a stray dog,on the street
water is life,clear
i am an eagle,i am an eagle
the stork,when i woke up one morning
the sky,the sky is blue with clouds of white
life,i thought
hope,hope is hope
loves love,love's something you cherish
the stork on my head,when i awoke one morning
time flies by,the solders died to keep me full of pride
my brother,my brother is extremely mean
green things,i love the color green
snow,snow is white
pink cheetah,i am a pink cheetah 
a day,when i awoke one day
muddy,one day my brother mitchell went outside to play
i once had a bear,i once had a bear 
i am,i am sweet as a little kitten
the girl aris,aris is my name
shawn,there once was a teacher named shawn
what i like to eat,almost every afternoon
pig,there was once a pig that was wearing a wig
minecraft,oh
three ghosts,three little ghosts
my hair,my hair my hair my cool hair
mist luck,cold freezing mist gives courage
kittens,kittens
the chicken,when i awoke one morning a chincken was on my head
the tooth fairy,roses are red
tiger,my lazy dog tiger playful and friendly
feeling happy,im feeling happy
my cat,my cat is black and grey
i like you,roses are red
mountains,the mountain yelled 
spaghettieos and cherrieoes,almost every night for dinner i eat spaghettieoes
what is wrong with you,what is wrong with you 
catfish,i am not a cat
waking down the street,walk to the mall 
dad,every sunday i go with my dad
ashley,awesome silly helpful lovely excellent yoyo
buttons,adorable
lila,lila is my dog
fuzzy levi,you may be fuzzy but you are mean 
ashley,athletic smiley helpful lovible erie youthful
fun,field of flowers unbearable life non use of life
spring,spring is cool
joey and me,joey my blackjack cat
flowers,roses are red
the that was on my head,when i awoke one morning a dog was on my head
september 11 2001,it happend not to long ago
basement,never look down in the basement
mrsmorgan,mrs
bingo,bingo is sweet
eric,eric is cute
bubble gum ,chewy
my bedroom,my bedroom is purple
wisconsin,wisconsin cold
i spy,i spy a flashlight 
dogs,my dog is small and he sneezes
what i think of you mom,i love you with all my heart
smores,almost every afternoon 
fat frankie,fat
watching,watching
love,love is nice and good
angels,angels are all around us
one crow,one crow melting snow springs winning
fread the fish,once there was a fish named fread
the cool cat,once there was a cat
about my cat,my cat is fat theres really no doubt about that
up in the air,up in the air
the ocean sounds,i hear the waves crashing up
when i think of,every afternoon when i think of a banana
swimming,the water is cold
school is fun,school is fun for everyone
lions,lions tan
kids,kids funny
kittens,my cat had kittens if you like kittens 
stars,the stars shine
my mom,i love my mom
kita,kin k9 i love her so much talkative a great friend
my friend,my friend is green his sister is tim
auto bio poem,ashley motivator
memory of austin,austin/funny
i love frogs,i love frogs and just my luck
roses,roses are red
an adventure of a life time,we went to montana seen buffalo roam
the hound on the block,there is a hound on my block
when i awoke one morning,when i awoke one morning
baby girl,a baby girl
mom,mommy lovely
morgan,morgan knows how to play the organ
my converse,my converse are black with stars in the back 
me,me
nighty wighty,she is as black as night
the dog in my desk,one morning i went to school
my dog,my dog is brown my dog is black
bugs,buzz
about life,life is hard
water,water is wet water is refreshing water is rivers
summer,summer is my favorite season
sitting alone,hello
waiting,hello
spiral,i'm spinning in a spiral
sir night,a knight of old
me,i have brown hair
middle school,i don't want to go to middle school
twister,iwake up to a rarring sound
hedgehogs,hedgehogs
if,on october 13th we celebrate
dogs,there are all different kinds
videogames rock,videogames are plentiful and meniful
rain,i was running
cheetah,cheetah run so fast i see your spots as you pass
i had a friend,i had a friend i wrote to
the water song,wish
the school book,i am a book
pink,pink the color of my manpurse
easter and flowers,easter is coming very soon
what i like to eat,almost every afternoon
in the middle of the night,in the middle of the night
thunder,boom
dogs,dogs
personal poem,austin dumb
my crazy dog,one day my dog barked
my cat,my cat's name is sat
the love of winter,&gt;i see the snow falling down
mom and dad,mom nice
black and white,white is the cloud that circles the earth
the book that shook,i took a book
kiwi,you look like a rock as brown as dirt
math is fun,math is fun and weird
sun,the sun is the earths lightbulb
rabbits,rabbits always hop in a field full of crops
the crazy hampster,when i awoke one morning
my gigantopitheocus,i have a gigantopithecus
siblings,siblings
dark night,dark night
bob the weirdo,bob the weirdo
your a crazy little thing,you're a crazy little thing
bitty babys big buttons,bitty baby bought some big buttons
the girl from atlanta,there was a girl from atlanta
the fat cat,one day i saw a fat cat
emma,elegant emma
my messy desk,i have a messy desk
opposites,we are opposites ''art
softball,soft out foulball time balltime all line light
frog,frog i hate to tell you but you
i love my hands,my hands help me pray when i need to
the big spider,the big spider was on my head
hair,i hav hai on my head i have hair under my arms
my amazing hands,my hands are amazing
hospitals,hospitals are filled with doctors and nurses
autobio poem,avril intelligent
there was a chicken who went wild,tere was once a chicken who went wild
ben and the apple,once
the forgotten cat,i used to have a cat
peoples faces,her face is as bright as the sun on very hot day
football,when i play the grass is wet
shoes,shoes don't have bells but they still are swell
new,you just moved to another state
me,i am the best in the wild wild west
alone in the gym,why here
spring,springtime is the time to flow
pickles,i really like pickles
good meatloaf,almost every afternoon
me,my name is brandon
mountain,mountain extreme
baby lost a tiny car,baby lost a tiny car tiny car
sleep sounds like sheep,my sleep sounds like a sheep abig one too
sally sue who,sally sold six sets of stolen shoes
im late,oh no
all donuts,donuts are yummy and fatning
when i get home from schoolwhen i get ready,when i get home
ump,take me out to the ball game
music,music can be happy
my cat,my cats name is garter
dogs and frogs,there once was a dog who got stuck in the fog
the towers that will always be here,the twins may be gone
bob,this is bob
splashing,when i go to the pool i make a splash
my brother brad,my brother is okay
my strong arms,my strong arms are very helpful
mr murtle,mr
dog cat,dog loving
spring,spring is beatiful
dogs and cats,dogs running
my cousin,my cousin is a orange guy
mash potatos,every day at high noon
abby,abby is a puppy that is only six weeks old
my pink unicorn,my unicorn is pink
sun,the sun is shining
teachers,teachers are the best
grapes,almost every afternoon
my arms and hands,i am reading books with my eyes
quieter that a mouse,quieter than a pencil drop
the old man,there once was a man who was old and very
my uncle ben,my uncle ben eats worms every day
my little sister,my little sister likes to eat
the cat on the hat,one day a cat jumped on my hat
creatures in the darkness,i flick the light switch off
soccer,when i was a boy i loved to play soccer
the red white and blue cat,there was a cat that was red
soup,evry morning i eat soup with a fork
pinch poke you owe me a coke,circel dot i do not
as soon as albreto gets out of bed,as soon albreto gets out of bed
sadness,sadness is blue like the seven seas
every afternoon,almost every afternoon i eat pizza on a dune
eggs,when i awoke one morning
i made a mistake,i went to the mall to buy a ball
the sword,the hero puled the sword out of a stone
the stork,when i awoke one morning
make me happy,make me happy i say
freds head,i have a dog named fred
crushed heather,crushed heather
the cobra,cobra
the odd kid,the odd kid is very odd
my dog,brownies are her favorite
the cookout,when i awoke one morning
i saw a,i saw a ape that ate a grape
kart,ones there was a kart
tiahet,tia-het
pencils,my pencil
my cuddly dog tommy,i got a dog in november last year called tommy
bmx bike,i bike with my friends 
father stew,mydad was cooking stew
a man named chase,their was a man named chase
caterpillar,inching
school is a horror,there once was a fool who had to go to school
day,day light bright glistening
when i awoke one morning,almost every afternoon i eat apples on a spoon
the cow,one evening when i was playing out side
what i like to eat,almost every afternoon
mouse,theirs a mouse in my house 
a whale,a whale is not as small as us
friends,friends are the best
seasons,a season is a wonderful thing
candlescandles candy cane,candles
the world,the world
i have a cat,i have a cat i have a cat
pencils,pencils pencils
on the bang boom boom,on the bang boom boom
the train,i saw a train 
a spring haiku,spring is beatiful
puppies,puppies are cute
the happy puppy,one day a very sad and gloomy girl
im thankful,im thankful for my parents
my old cat,my old cat
billy fuller,my friends name billy
there was a rat on my toy cat,i awoke one morning and i saw a rat
a pet frog,this dog loves his pet frog named hog
what is red,red is the color of your blood
my brother,my brother my brother is a evil kid
flying,one day i started to fly
the stork,when i awoke one morning
horibble cry,scarier than a cats cuteness
friend,when i awoke one morning
summer,summer a bright and sunny day
nothing is better than a hockey stick,nothing is better than a hockey stick
things to do if you are a tree,feed the child picking your berries
randy moss 84,randy moss `84
quick girl,she sets fire to any track
bat,one day i saw a bat wearing a hat
blank as white,you wake up and nothing is around you
pupmkins,~*pumpkins are spooky
funny,if a snake was a drake
fat cat,this fat cat weighs over a ton
the duck,once there was a duck
my family,dad's always pulling jokes
dragons,dragons are cool
what a tooth brush might say,im sitting on a counter
a stork on my head,when i awoke one morning
fuzzy bunny,once there was a fuzzy bunny
baseball,baseball's the sport i love to play
mat cat fat,i spy a mat
mrshouston mrscarlisle,mrs
i like bananas,almost every afternoon
the man from france,there once was a man from france
the ants ate my homework,one day i finished my homework
im in a fabulous mood today,i'm in a fabulos mood today
steak,almost every afternoon i eat steak when it's baked
the terrible spiders,there once was a spider whos' name was hider
the snake,when i awoke one morning
my dog skipper,crazy as my little sister nutty as a rat
i have a monkey,i have a monkey his name is joe
logan,logan rules logan drules logan has a swimming pool
logan,logan is my friend&lt;br&gt;he has big tv
dirtbike,when i ride my dirtbike
christmas morning,every christmas morning i wake up with a leap
the greatest man,martin luther king was a great man
its raining cats and dogs,it's raining cats and dogs
my little sister jeri,spoiled
the talking dog,the talking dog
my mom,my mom is the best
basketball,super
the snake,when i awoke one afternoon
my sisterdies,there was a girl who had 8 sisterdies
why do you need me,why do you need me? you could get stung by a bee
brandon brandon,brandon brandon it is a curse
my weekend,i went to outerspace
the magic classroom,in the classroom are 2 magic boards
higher,higher than a tree can go
ring rang wrong,ring rang wrong
end of the summer,end of the summer i wish i had a hummer
my head,the best part of me is my head
the flying dork,when i awoke one morning
ther once was a girl,there once was a girl from mandy
my mom,the person who feeds me
brave soldiers,the horrible war
my dog brownie,brownie's really clownie
my jelly beans,almost every afternoon
cats,cats
art,art is not a picture or sculpture--
dog,dogs are really nice
mr glass,mr
big blue bug,big blue bug
sudds,bubbles
the cat in the hat,the cat has a hat
the bunny pig,i have a buuny that acts like a pig
randomness,the grass is green
milwaukee,milwaukee
people,some people are pest
stars,stars are beautiful
dad,dad strict
spring,spring wet and rainy raining
my dog,his ears are little
cold,i haved a jacket
fade away,you could go away like a sky blowing away
i love you,i love you so much haha
rollerblading,rollerblading was a blast
dog and cat,dog fast
grassy green,green
gold,legend is told that there is gold
august last december,one august
my hands,i love my hands
birds,oh the birds high in the sky
racing dirtbikes,every time i go racing
school lunch,school lunch i do not like
i wish i had a dog,i wish i had a dog
the parrot the ferret,there once was a boy named eric
fall,fall's a time to laugh and play
april fools,april fools oh april fools
jay,when i awoke one mourning a jay snoozed on my head
red,red the color of my clear pen
bigger than,bigger than a mouse
the spring is love,love is like a penny in a pot like dots in the air
why me,why me? \t\t\t\t\t \twhy me
i liked your poem,dear jack
screechers,the path to the sea is full or wicked creatures
my family lives in a backpack,my mom is the binder she keeps us together
lots of,lots of flowers in the spring
the sound of paridise,the sound of paridise is like no other sound
around the rug,hey
i hate sleat,when there's sleat i hide under my sheat
sounder,boy black
blue,blue
the monkey,the monkey lives in a tree
homework oh homework,homework oh homework i hate you
the rhyming moose,when i awoke one morning
baby,i love baby a lot because they are sweet with me
birds,birds fly in the sky
if i had a puppy,if i had a puppy it would be very small
laves,leaves fell of of trees
soccer,what sport has a black and white ball?soccer
dance,dance fun
i am,i am beautiful
butterfly,fly
get rid of my tooth,my tooth
what should i put on my popcorn,what should i put on my popcorn
mom,mom
my best friend,she can cook she can clean
my best friend,she can cook
the bad day,today is a day that is not fun
family,a family is are lovely people
danielle,danielle is nice
brightness and darkness,bright as the stars
hot chocolate,hot chocolate is as chocolately as brownies
snow,snow falling down
my beautiful day,my beautiful day would be like this
stork surprise,when i awoke one morning
do yo know who this is,do you know who this is i bet you don't 
louder than a clap of thunder,louder than elephants stomping
me,my nose is pink
when i see a bee,when i see a bee
wind,the wind was quick
morning stew,the stew had worms for noodles
mrs ann,mrs
a quick poem about leaves,leaves falling round and round falling
teacher,my teacher is the best
myself,alone
ice cream,almost every afternoon
teachers,teachers are what help us grow
one day at the beach,one day at the beach
quiet,i am very quiet
,wish on a star
books,small books
pearl took a ride,there once was girl named pearl
brihno,a brino is a combination of a bear and a rihno
you are food,you are sweet you are neat
bean stew,bean stew is nasty
britney j,there once was a man his name was dan
my favorite things,i like cats and i like mats
my favovorite things,i like cats and i like rats
stefany,stefany likes blue like the sky
stinkey weenky,i have a stinkey brother named boo
pizza,pizza is delicious
my friend,my friends are pj and elexi
the giraffe on my head,when i awoke one morning a giraffe was on my head
people of my world,people
strawberries,every day at one
i saw the strangest thing last night,i saw the strangest thing last night
g is for good,behavior that is good
the sky is falling,help
dance,move that body
a loving four person family,mom
the smart girl,there's a smart girl in town
theres a baby,there's a baby lets keep her
the friendly cat,when i awoke one morning
a winter wounderland ,winter's wounderland
n sync,*n sync *n sync thats my entire life unfortunately
hey diddle,hey diddle diddle the dog and the fiddle 
love,love is something you use every day
opposite,when i woke up one morning
bananas,almost every afternoon
green days,green days are green
gators,gators
brock,brock run observer cockey kick
lunch lady,fat
football,football is tough
my four wheeler,my four-wheeler is red
the whale,little mystery
soccer,soccer fun
poor donkey,there once was a donkey from springville
a day without rain,it is a day without rain
flowers,i like all different kinds of flowers
my crazy morning,when i awoke one morning
the house,the house has a mouse
theres a somthing in my hat,there's something in my hat
monster,tickling whiskers at my ears
hot bagel,i had a hot bagel one day
radish,almost every afternoon
my cousin and i,one day my cousin came over to my house
diamonte,mckensey sweet
my family,my family is helping and caring
my lovely ears,my ears
chicken,every day at one
sing,i love to sing
think peom,the more water you drink
football,football is a game that can really hurt
hambuger,big
growing up,growing up growing fast
poor wolly,there was a boy name wolly
swimming,i know how to swim
honey bees honey bees,honey bee
the sunryming couplet,the sun is fun
school,on my way to school
blue skys,see the blue sky's
army,stronger than a elephant
kitty in a tree,there once was a kitty
very orange,oranger than a pumpkin
nicer than a butter cup,nicer than a butter cup
the bully eraser,there once was a bully eraser
pool,its the last day of school
green,green is the morning dew on the grass
i am,i am small
blue,blue is the sky that everyone can see
baby chicks,we had baby chicks
why is the sky so high,i look up into the sky
fast,i am faster than a cheetah running
my invention,my invention has lots of stuff to it it
earth,earth
what i eat in the afternoon,almost every afternoon
crazy morning,when i awoke one morning an ape was on my head
when i awoke one morning,when i awoke one morning
the stork,''last night while you were sleeping
my baby dragon willnot breath fire,my baby dragon will not breath fire
friend,i once had a friend
the beach,i feel the wind
books,i need books
the rat,when i awoke one morning
author and illustrator,author thinking
my working legs,my legs are strong but not weak
my puppy tanner,my puppy tanner is cute and sweet
night,the sky is dim
why,i have so many why's
elmer duloo,everyday at 9:22
my little sis,my little sis is such a big priss
the very very verypoor man,the very
dipsy dimpky poo,i flew i flew my name is dipsy dimpky poo
mrs fox maybe not,a fox running free
smush,smush
a weird life,when your food smells like rotten eggs
love,love is something really great
not fair,life is not right and thats just not fair
my coutrys flag,the flag of colors from many battles
the clock,i have a clock that is red
the ball,one day i had a ball
my kitten,my kitten she likes to play hide-and-go seek
tiger in the waterfall,tiger in the water fall
mountain,i like the mountain in the fall
the chark,look at that chark over there
nicer than,nicer than a cat
the cute dog,one day that i woke up
the snowman who disappeared at the beach,there once was a snowman
a very mean poem,one day on the 0 of july
music is cool,magnificent unusual singing instrument cool
snow,snow
football,football is a game of speed
monster truck,monster truck big wheels drive
teenagerbaby,teenager selfish
the black knight,has shining armor
best dog ever,my dog is so fast he can run 100miles
what i found in my locker,a mirror with cracks down the middle
animals,i can see the mouse going in its hole
mayo,mom where is the mayo? what? where is the mayo?
older than your grandpa,older than the dinosaurs
cake,if almost every noon
the goat,when i awoke one morning
bugs,bugs
bananas,every day at nanna's
i eat cookies,almost every afternoon
i like school,i like school because my friends are there
mr worm so scary and harry,worms worms every where
we all must read,so you want to read
dreamer,i watch her dream as i lull myself to sleep
i found a bad apple,i found a bad apple on the ground
chocolate,almost every afternoon i eat chocolate on the moon
the monkey who steals,there was a monkey with a cow tail an he is orange
the lazy flea,when i awoke one morning
pie,pie pie pie what is there to love about pie?
a chocolate donut,i was down the street 
my arms,i like my arms because
a leperchaun stole my tv,a leprechaun stole my tv
tabs the kitty cat,i have no home
kitty cats with no home,i have no home
dogs,dogs can be big and small
this is me,sometimes
which one for my hair,a brush here
me i,me i
colors,roses are red
i am a dragon,i'm not a bt
books,books are like a treasure chest
keep on trying,don't let your fears hold you back
rainbows,rainbows shine in the sky
ladies and germs,come ladies and germs
my favorite teacher,my favorite teacher was mrs
ballet recitle,roses are red
random thing i picked up,markers
deer on my head,when i awoke one morning a deer stood on my head
rose pedals,rose pedals
my dog the cloud,i once went up a hill and saw a cloudy dog
canines,puppies small
sugar,sugar is sweet it is a treat
growing up,as i age when i wake
ice cream,ice+cream=a very
butterfly,butterfly flying high in the baby blue sky
mouse mystery,when i woke up one morning
bear,when i awoke one morning
toad,when i awoke one morning a toad was on my head
the great treat,almost every afternoon i eat potato chips
the river,the river is a marvel of nature
my dog,my dog is big strong and black with grey
nascar,my dad's favorite sport
mrs monkey,mrs
billy searsilly bear,billy sear
buddy,buddy is my puppy and he's very very cute
drop,tears of rain
the hairless dog,i once seen a dog
weather haiku,the snow is so cold
anne our daughter,anne
cat love,as cats say so
my cat and i,every day my cat and i go out and play all day
caroline,caroline loves to eat
looking at the moon,looking at the moon i see a gloom
the baseball game,bam
books,books are like portable learning
my dog lea,my dog lea is very funny
blaze,little
silly silly,my silly silly monkey went up a silly
alone,my friends in the meadow and me at home
butterflies,releasing butterflies one by one
my moms portrait,my mom's eyes are brown like a new born tree
school,school is fun it is also hard it is very boring
my cats,my cat is looking for something
homework homework,homework homework everywhere you look
the stork,when i woke up on morning
nature,nature is so beautiful
tyger,tyger
he wears a hat,he wears a hat
boo berry pancakes,who likes pancakes
a great spring,roses are red violets are blue
feelings,feelings by:carter feeling happy
crazy,as we dance under the sun
green,green the color of my room
friends,friends nice
the bird in the cage,their once whas a bird his name is fred 
my poem,roses are red
the ball,i once had a ball tat bounced of the wall
boys,boys boys there such a discrase
my cat,hey
fly buzz sing grow,fly
mom,i know that i have done things wrong
homework,i am so glad
little brother please go to bed,little brother please go to bed
jack prelutsky,the sweetness that is swirled in every
turkey,turkey is great
family is family,family is family brothers
rain rain is a pain,rain is a pain
the at pome ,there was a cat who liked to bat on sat
buddy,buddy is gray; buddy is white
buddy,buddy is gray; buddy is white
black,black is cats that froic and play
down poor,rain is boring my mom is snoring
peppers and jam,almost every afternoon
math then a bath,it's really easy to do math with gum
4th grade,4th grade is the best
girls and boys,girls are sweet
horses,4 long slender legs
a very intense day,intensly
snowy day,one bright sunny morning i went outside to play
my best friend,my best friend is mostly nice to me
my cat turned into a rat,my cat turned into a rat
michaels day,everything runs smoothly through and through
baby and teenager,baby small
cats,i like cats yes i do
thats how much i love you,i love you more than the size of the world
mike mouse muches,mike mouse munches on marshmellows
teamwork,teamwork all together fun
big and yellow,big and yellow
theres a bug on my mug,there's a bug on my mug
dreams,delightful
pie eating,pie eating \talmost every afternoon
fred,my name is fred
stork,when i awoke one morning
my name is fred,my name is fred
maybe,maybe he'll play
auto bio poem,fast
stupid homework,you make fish look good you stupid
drats,the air is still
a mouse,a mouse squeaks like a dog toy
chase the cat,my name is chase
the flower in shower,there once was a flower that was in the shower
one morning,when i awoke one morning
students everywhere,student here
when the wind blows,when the wind blows i feel so alive
jack,you seem very nice and you write good poems
i was a mom,i was a mom when my mom was sick
florida,dolphins by the sea
the flashlight,the flashlight is bright
in trouble,the children are cheering as i dance all about
leaves of green,leave's of green you move in wind but not with me
hungry as awsome,roses are blue
buffalo snooze,when i awoke one morning
fishing,i'm fishing
shoes,without my shoes i have the blues
the more water,the more you drink the think
lets go play,every other day
mms,almost every afternoon
happy happy sad,happy
the fantasy sink,i have a pink sink
sunshine,sunshine oh sunshine
turtle,i have a turtle
my mom,mymom is the best there can be
frog in the hog,there was a frog in the hog
funky monkey,i met a funky monkey
invisible man,invisible exciting
today is a bad day,today i got out from my bed
everyday magic,in my backyard
blue star,you say goodbye to your parents for the summer
msbraddock,when ms
turtles,cool
cat and lunch,my pets smokey and freddy
chocolate,almost every afternoon i eat chocolate
chase oh chase,chase oh chase has a face
my dog,my dog is cute my dog is pretty i love my dog
futuristic world in space,most floating cars go all the way to mars
pepper,you are as bumpy as gravel
hours and hours in the flowers,i lay around for hours and hours
cookies,i like to eat cookies
light,very very bright
colors,blue
why do i,why do i love you
go to bed,1 after 2 i buckled my shoe
almost every afternoon,almost every afternoon
denied,i asked my mom for allowance
the sun,nobody think there was a sun
dreaming,it's time for bed
the kid,i'm jack i stand on a rack
chelsea,chelsea likes to cheerlead
the big fat rat,the big fat rat came through the door
pandas,sweet and pretty they are white and black
banana crazy,almost every day
pig,i awoke one morning and a pig was on my head
act like a dog,when i awoke one morning
sugar and spice,sugar and spice is so nice
my history,i learned my history had a name
look deep,shipwrecked on land with houses all over but
carols big day,kendal had a friend named carol
the me i see,black hair
the cat,oh no where is my cat
wind,look at all the colors of the wind
gentle hand touch,i remember
my favorite sport,baseball is my favorite sport to play
i am in love with,on the first day of school i met a boy
asteroid and pins,asteroids come down like pins pining cloths
boring teachers,my teacher is boring
i am a wolf,i am a wolf my heart is big
wolf howl,wolves howl in a pack
circles,circles remind me of hola-hops icecream scoops
the bluebird,the earth was green
one sunny day,one sunny day
my feet,my feet are so very wonderful
prettiest flower,flower
brownies,brownies crumbley
why,why do we have fear that only causes pain
pink,pink is the color of roses
checkmate,sixty four squares
messy room,my room is very messy my closet is too
i have a problem,i am small
the model on the catwalk ,a model is purple and pink
in remembrence,they say that it doesn't kill us
the evil pear,beware the evil pear
a blue day,blue is bright
snow,snow is fun to play in
snow,snow is fun to play in
experiment,when i awoke one morning
snow,snow is fun to play in
triangle,it h a s t h r e e s i d e s i t i s v e r y cool
chris,cool hard reader illustrator silly
spitfire diamante,skateboard fun
my dog red diamante,dog soft
spitfire cinquain,skateboard fun
trees,when i see a tree it whipers to me
reses peanut butter cups,i have a reses peanut butter cup
the mouse,when i woke up in the morning
the rat mat,my rat was named mat but
my cat lucy,my cat is soft and has black fur
mrs mag,mrs
i picked an apple,i picked an apple
sheep and jeep,theres a sheep that has a jeep
another day,when i'm awake
eagles wing,out of all the animals i like best
that sweet peech,that sweet peach i wish to eat in all sorts of way
the bug,when i awoke one morning
beautiful flowers,look at these beautiful flowers 
life,my dog is my life
a dog i know,i like dogs
my step dad,my step dad is cool
my dad,my dad is the best
crush,when you walk
the sounds actions of life,a cow goes moooo
dog,happy little dog
ive given you a,i've given you a yes i've given you a no
i like,i love my dad's dog i love my grandma's cat
i love,i love my mom i also love my dad
the ocean,when the ocean roars and waves splash
i like pickles,pickles
ramona forever,funny
the first snow,i wake up one morning
fire,hot flaming fire
ice cream,i scream you scream we all scream for ice cream
my pesty little brother,i have a little brother
chloe,chloe is cute
louder than this,louder than chloe
my cat,i just got a new cat
dragon,i am dimind the friendly dragon
conections,computers and tuters are kind of the same
when sunshine rains,the sunshine rained all over my face
when i woke this morning,when i awoke one morning
the frog in my bed,when i awoke one morning
maddy,i have a dog
my dog,my dog pouchie is part cocker spanul
the big fat pig,there is a pig within my house
lions,lions king fast prowling
mets,my entire team stinks
morning announcements,good morning
going bananas,almost everyday
annoying as ,annoying as caitlin
things to do if you were a tree,have big roots in the ground to soak up water
messed up,roses are blue vilets are red i hate squreles
motion,whats all this commotion??
the chasing animals,the cat wearing a hat and chasing a bat
my snake eyes,i named my snake eyes because he's part of dice
fish,pretty
snack poem,almost every afternoon
kirby,kirby is a puff ball a cute little puff ball
my moms portrait,my moms eyes are as blue as the morning sky
the night sky,the other night in the sky my dad saw a meteor fly
about me,hi my name is christopher
my bracelet,my bracelet is shiny
a moose snoozed on my head,when i awoke one morning
my fish,everyday at six i feed my fish sticks of crumbs
pie,pie
a pencil,a pencil has lead
the fat family,there once was a man who weighed quite a ton
my new computer,i'm finally geting a computer
something on my head,when i awoke one morning
red orange,red orange is the sound of fire
quieter then the whispering wind,its queiter then a clock running
our teacher,our teacher
theres a mouse in my house,there's a mouse
weird bird,weird bird
red,red is like the fire at night
wolves o plenty,wolves
my mom,she is beautiful
whats important to me,it means friendly
one morning,when i awoke one morning
my mom,dazalling excellent amazing nice nine awsesome
baseball,at the plate have a bat on the field have a hat
icecream,ice-cream tasty
i have oscar,i have a dog named oscar
basketball,basketball oh basketball oh how i love basketball
grapesgrapes,grapes
chocalate,brown
library,library
my friend,my friend is very very mean her name is
funny bunnies,i have a funny bunny
winter,sparkly
winter days,today the weather forecast is snow
my dog,one day i had to wash my dog's hair
mothers day,roses are red
candy,roses are read violets are blue
my brothers portrait,my brothers eyes are as big as a gigantic blimp
haunted house,halloween is here
my heavenly hair,i love my hair
fish,in my house there is an aquarium
cows and owls,moo-moo
summer,summer sunny
raindrops,tip
nuzzle,my friend is a dog
pizza,pizza
nature,just check out the beautiful outdoors
home on the stage,i can't stand waiting
pizza,pizza grecy
beautiful,a winter day with snow and slush is beautiful
soccer,i woke up and went to soccer
friends,you need to pick your friends 
outdoors,i play with my dog
smart,i was smart
my cat,i have cat she is a cuddly cat but also very fat
the day dosent come,you never know when it comes
hedgegranet,i am very tiny like a pomegranate seed
izzy,izzy is a wonderful pet
lulu,lulu is my dog
problems,problems
puppy,i am a little puppy
my dog,my dog is less than one foot tall
i use a cane,i use a cane because i'm in pain in the rain
my long legs,my legs
my feelings,it`s like a dark cave
blazing fiery embers,it's not bombs or exploding missles
the angels,the angels in the sky
ace,there was a boy named ace
salley,there once was a girl named salley
my dog suger,suger is so good
pizza meatsa,i like my pizza with lots of meatsa 
louder than a breeze,louder than a breeze
concordes flight,&gt;a speck on the runway
its baseball,you are up to bat
the fox,when i awoke this morning
fall,fall is
dog,funny white
my family,my family is so weird my babysister has a beard
how i eat ice cream,almost every afternoon
the snow day,one day it was snowing footballs
my little lady,my little lady is white and brown
fish eater,when i awoke one morning
my dog is afraid of a cat,my dog is afraid of a cat
a dog named tiger,i have a dog his name is tiger
horse upon my head,when i awoke one morning
the bear,when i awoke one morning
pizza poem,every dat at five
how i eat chips,almost every afternoon
me,i have big feet
be zero,be number zero so you can be a hero
there once was a gecko,there once was a gecko from springville
badger,when i awoke one morning
on sping brack,on spriing brack i went to a friends house
morning friend,when i awoke one morning
ellie,ellie is cool
colin is weird,colin is weird
poem,poems are fun some are sad
poem,poems are fun some are sad my are bad
snowday,library teacher's guide\t snow by aria d
ice cream,i am ebenezer bleezer
my life,my name is colin and i'm a boy
the stenth,there was a snoare that was stinky
the bad day,it started out as a normal day
my sick cat,my cat is very sickly
a bump on my head that stings like a bee,i woke one morning with a bump on my head
kirk and collin,kirk and collin are best frends
recess,''time to line up
cars,i have a real fast car
my head,oh
kailie,i have loved her ever since i laded my eyes on her
football is my game,sports is my game
drsuess,dr
altoids,altoids are my favorite candy
my dog and cat,dog smelly
altoids,altoids are my favorite candy
altoids,altoids are my favorite candy
a man named chase,there once was a man named chase
birds,i see birds every were i go
my dog,my dog is very sweet but
thanksgiving,i love turkey when its drowned in gravy
skittles,almost every day at six
computer mouse,you click it
the dragon,sharp teeth
beautiful winter,i see
mixed up poem,roses are blue
the bats life,when i woke up
people,people are so kind
an elephant sat on my head,i woke up one morning an elephant was on my head
yo my name is joe,yo my name is joe i live in a factory
hidden,in the darkness i shall wait
summer,hot cold kool-aid the beach swimming summer
when i sleep,when i sleep i dream wonderful thoughts
spring,spring is in the air
big jack,there once was a baseball that went over the fence
poor old,i wake up in sight of mr
feelings,i am feeling sad
creepier than a creeper,creepier than a creeper
i am no stranger,you say you don't know me and to just let it be
a cherry cake,i baked a cherry cake 
the tomato and his alfredo,the tomato likes alfredo
nature,the wind moving things
spring days,sunny days up above pie eating contests
awwwnew school,if you like pool
awwwnew school,if you like pool
awwwnew school,if you like pool
mothers day,mothers day is coming soon
swiming in the pool,i was swiming in my pool hereing water splash
fruits,i like fruits because there neat colos like red
macaroni and my phone,i came home to my phone
july,july is the best with firecrackers colors
my teacher,i know she likes pink
my popcorn,almost every afternoon
the farm,the farm
bee hive,a bee hive i see is old and yucky
zebrahorse,zebra
